Sample Name	Strain Mixture?	Proportion Heterozygous SNP calls	Barcode Length	UDG Treatment	Nr. Input Reads	Reads Retained Following Poly-G Trimming	Retained Following Demultiplexing	Percentage Retained Following Demultiplexing	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	5 Prime C>T 1st base (Loose mapping parameters)	5 Prime C>T 2nd base (Loose mapping parameters)	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	5 Prime C>T 1st base- Human Mapping	5 Prime C>T 2nd base- Human Mapping	Mean Length Mapped Reads- Human Mapping	Median read length- Human Mapping	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	Reads retained after MALT filtering	Nr. Mapped Reads	Nr. Mapped Reads Passed Post-Filter	 Dup. Mapped Reads	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean Length Mapped Reads	Median read length	Nr. Dedup. Mapped Reads	Mean cov	Median cov	≥ 1X	≥ 2X	≥ 3X	≥ 4X	≥ 5X	 GC Dedup. Mapped Reads
PIE034.B0101.SM1	Yes	42.6	-	half	10,810,560	-	-	-	11,231,732	2,173,852	19.35	1,940,057	17.27	77.3	11.5	1.2	79.59bp	76.00bp	25	1.7	42.52bp	38.00bp	11,231,732	2,075,113	18.48	1,870,860	16.66	77.1%	75.69bp	72.00bp	1,837,129	1,723,521	1,652,816	77.6	0.6	0.6	77.35bp	72.00bp	371,015	14.1	15.0	87.2	85.2	83.3	81.4	79.4	39
SJN032.A0101.SM1	No	0.1	-	half	7,275,668	-	-	-	7,173,290	3,368,563	46.96	3,167,377	44.16	81.3	7.1	1	65.62bp	61.00bp	11.4	1.2	51.32bp	47.00bp	7,173,290	3,291,315	45.88	3,044,633	42.44	81.2%	61.69bp	57.00bp	2,915,321	2,691,971	2,564,374	81.5	0.6	0.6	63.58bp	60.00bp	473,987	14.8	15.0	84.7	82.8	81.1	79.2	77.3	40
OSS001.A0101.SM1	Yes	42.5	-	half	10,689,193	-	-	-	10,543,511	3,531,077	33.49	3,295,990	31.26	83.8	12.5	1.1	72.92bp	71.00bp	20.9	1.8	45.60bp	41.00bp	10,543,511	3,437,306	32.60	3,178,977	30.15	83.7%	69.02bp	68.00bp	3,077,436	2,886,815	2,773,465	84.2	0.6	0.6	70.94bp	70.00bp	438,501	15.3	16.0	87.8	85.6	83.5	81.6	79.6	39
OBK010.A0101.SM1	Yes	37.8	-	half	9,123,524	-	-	-	9,094,755	2,039,045	22.42	1,734,783	19.07	64	4.6	1.1	71.97bp	69.00bp	18.2	1.7	46.28bp	43.00bp	9,094,755	1,934,856	21.27	1,660,943	18.26	63.7%	68.04bp	65.00bp	1,581,806	1,472,820	1,407,220	63.9	0.6	0.6	69.81bp	68.00bp	508,144	17.4	17.0	85.8	83	80.5	78.3	76.1	40
XAN005.A0102.SM1	No	1.3	-	half	6,804,226	-	-	-	6,677,296	1,980,522	29.66	1,815,533	27.19	68.1	12.4	1.1	75.05bp	75.00bp	9.2	3.4	46.56bp	40.00bp	6,677,296	1,914,552	28.67	1,749,681	26.20	67.9%	71.17bp	71.00bp	1,673,479	1,586,415	1,519,694	68.4	0.6	0.6	72.98bp	72.00bp	480,370	17.2	18.0	86.8	84.4	82.6	80.9	79.3	39
TIL003.A0101.SM1	No	0.1	-	half	8,163,112	-	-	-	7,958,804	2,543,531	31.96	2,348,082	29.5	75.4	11.8	1.2	75.83bp	76.00bp	16.8	2.8	50.30bp	41.00bp	7,958,804	2,468,349	31.01	2,259,134	28.39	75.2%	71.95bp	72.00bp	2,225,433	2,054,261	1,961,940	75.5	0.7	0.7	73.91bp	72.00bp	480,139	17.5	18.0	84.8	83.2	81.7	80.3	78.9	39
IKI023.A0102.SM1	Yes	33.1	-	half	8,181,333	-	-	-	8,106,338	1,953,768	24.1	1,768,554	21.82	62.1	11.9	1.1	72.88bp	72.00bp	5.8	1.2	59.52bp	50.00bp	8,106,338	1,881,666	23.21	1,703,586	21.02	61.8%	68.95bp	68.00bp	1,636,682	1,524,313	1,460,752	62.2	0.6	0.7	70.95bp	71.00bp	552,180	19.3	19.0	86.3	84.5	82.8	81.3	79.7	39
FAR004.A0104.SM1	Yes	16.4	-	full	9,115,341	-	-	-	8,794,067	3,627,360	41.25	3,294,164	37.46	71.2	1.2	1.4	60.34bp	56.00bp	2.5	1.7	39.96bp	38.00bp	8,794,067	3,482,945	39.61	3,151,669	35.84	71.0%	60.35bp	56.00bp	2,887,670	2,722,798	2,595,670	71.6	1	1.2	61.99bp	58.00bp	735,931	22.4	23.0	87.2	85.2	83.6	82.1	80.7	38
KIV002.A0101.SM1	Yes	69.6	-	half	9,186,743	-	-	-	9,459,701	2,873,079	30.37	2,661,910	28.14	72.7	3.1	1	77.62bp	76.00bp	11.3	1.2	43.95bp	41.00bp	9,459,701	2,784,973	29.44	2,564,354	27.11	72.4%	73.68bp	72.00bp	2,511,814	2,353,675	2,255,171	72.8	0.6	0.7	75.37bp	72.00bp	612,580	22.7	24.0	91.8	90.2	88.8	87.3	85.9	39
PLI001.A0101.SM1	No	6.4	-	half	10,327,411	-	-	-	10,866,185	3,541,899	32.6	3,257,035	29.97	76.5	5.2	1	78.55bp	76.00bp	14.8	1.5	49.73bp	45.00bp	10,866,185	3,421,149	31.48	3,127,766	28.78	76.2%	74.67bp	72.00bp	3,118,184	2,866,100	2,743,626	76.6	0.6	0.7	76.40bp	72.00bp	642,884	24.2	27.0	86.8	85	83.5	82.4	81.3	39
GIN005.A0101.SM1	Yes	19.9	-	half	11,359,847	-	-	-	11,988,472	5,185,402	43.25	4,953,876	41.32	83	4.8	1	80.90bp	76.00bp	8.9	1.8	49.18bp	43.00bp	11,988,472	5,074,701	42.33	4,783,555	39.90	82.8%	76.98bp	72.00bp	4,850,080	4,423,327	4,241,157	83	0.6	0.6	78.59bp	72.00bp	719,422	27.8	30.0	90.1	88.2	86.9	85.8	84.9	39
REV004.A0102.SM1	Yes	47.5	-	half	7,895,847	-	-	-	8,395,300	3,384,595	40.32	3,228,197	38.45	73.5	2.1	0.9	82.32bp	76.00bp	5.3	0.8	52.80bp	48.00bp	8,395,300	3,313,051	39.46	3,114,806	37.10	73.2%	78.41bp	72.00bp	3,092,475	2,862,682	2,744,998	73.3	0.6	0.6	79.74bp	72.00bp	732,695	28.7	30.0	90.9	89.8	88.8	87.8	86.8	40
KPT003.A0101.SM1	No	5.2	-	half	10,358,653	-	-	-	10,425,095	3,932,679	37.72	3,638,759	34.9	74.1	3.3	1	82.36bp	76.00bp	7.7	1.1	42.34bp	39.00bp	10,425,095	3,815,218	36.60	3,502,761	33.60	73.9%	78.44bp	72.00bp	3,454,039	3,223,868	3,090,610	74.1	0.7	0.7	80.00bp	74.00bp	801,800	31.6	35.0	88.4	86.4	85.1	84.2	83.3	39
VIL009.A0102.SM1	No	2.0	-	half	9,290,865	-	-	-	9,520,390	4,094,762	43.01	3,898,343	40.95	76	7.5	1.2	87.12bp	79.00bp	20	2.1	39.26bp	36.00bp	9,520,390	3,989,127	41.90	3,752,439	39.41	75.7%	83.17bp	75.00bp	3,731,011	3,475,308	3,343,729	75.8	0.8	0.7	84.49bp	77.00bp	810,500	33.7	38.0	86.9	85	83.8	82.9	82.3	39
ALM029.A0101.SM1	Yes	11.3	-	half	10,740,452	-	-	-	11,122,101	4,907,649	44.13	4,690,256	42.17	76.3	8.6	1	88.01bp	80.00bp	15.1	1.5	54.63bp	50.00bp	11,122,101	4,796,668	43.13	4,521,504	40.65	76.0%	84.05bp	76.00bp	4,530,303	4,177,624	4,016,162	76	0.6	0.6	85.28bp	78.00bp	965,150	40.5	45.0	88.2	87.3	86.6	85.9	85.2	39
PRU003.A0102.SM1	Yes	57.2	-	half	7,652,826	-	-	-	7,515,025	3,093,521	41.16	2,937,403	39.09	57.4	7.8	1	88.25bp	85.00bp	14.7	1.5	42.93bp	39.00bp	7,515,025	3,021,837	40.21	2,829,954	37.66	56.9%	84.29bp	81.00bp	2,813,448	2,585,434	2,479,771	56.3	0.6	0.7	85.74bp	83.00bp	1,084,330	45.7	49.0	88.5	87.3	86.4	85.8	85.1	40
SGA024.B0102.SM1	Yes	38.8	-	half	7,728,742	-	-	-	7,853,591	4,698,746	59.83	4,519,128	57.54	67.5	3.7	0.9	80.75bp	76.00bp	6	1	54.72bp	50.00bp	7,853,591	4,614,843	58.76	4,360,331	55.52	67.2%	76.79bp	72.00bp	4,186,766	3,900,353	3,740,299	66.7	0.6	0.6	78.40bp	72.00bp	1,247,163	48.1	52.0	88.5	87.8	87.2	86.7	86.1	40
PGL001.A0103.SM1	No	3.1	-	half	7,627,934	-	-	-	7,831,180	3,531,920	45.1	3,281,675	41.91	57.7	2.7	0.9	89.71bp	88.00bp	5.7	1.4	58.31bp	53.00bp	7,831,180	3,375,169	43.10	3,085,952	39.41	56.3%	85.64bp	84.00bp	2,802,771	2,550,783	2,447,920	51.7	0.6	0.6	86.61bp	85.00bp	1,183,330	50.4	53.0	89.2	87.7	86.8	86.1	85.5	40
KIV006.A0101.SM1	Yes	62.8	-	half	9,788,589	-	-	-	9,765,477	3,988,947	40.85	3,799,026	38.9	60.5	2.5	0.9	82.01bp	79.00bp	10.9	1.3	47.61bp	43.00bp	9,765,477	3,908,587	40.02	3,663,205	37.51	60.0%	77.91bp	75.00bp	3,530,835	3,287,871	3,145,412	59.1	0.7	0.6	79.46bp	77.00bp	1,287,427	50.3	54.0	90.3	89.2	88.4	87.6	87	40
VLI061.B0102.SM1	No	0.5	-	half	8,751,282	-	-	-	8,628,292	4,481,026	51.93	4,303,156	49.87	65.7	4.3	0.9	86.87bp	85.00bp	7.7	1	51.81bp	45.00bp	8,628,292	4,388,573	50.86	4,127,703	47.84	65.2%	82.88bp	81.00bp	4,067,467	3,782,239	3,607,062	64.6	0.7	0.7	84.27bp	83.00bp	1,276,112	52.9	55.0	85.6	84.5	83.6	82.9	82.2	40
SJN015.B0101.SM1	No	3.6	-	half	6,443,481	-	-	-	6,583,595	3,678,858	55.88	3,520,043	53.47	51.6	2.8	0.7	85.75bp	82.00bp	5.3	0.9	56.70bp	52.00bp	6,583,595	3,617,995	54.95	3,399,404	51.63	51.0%	81.74bp	78.00bp	3,226,945	3,059,236	2,924,604	49.5	0.6	0.6	83.20bp	81.00bp	1,475,598	60.4	59.0	90.9	89.3	88	86.9	85.9	41
EHU002.A0201.SM1	No	0.7	-	half	10,351,887	-	-	-	10,621,542	5,982,812	56.33	5,717,090	53.83	74.1	5.8	0.9	93.50bp	93.00bp	6.6	0.9	62.95bp	59.00bp	10,621,542	5,865,813	55.23	5,513,857	51.91	73.7%	89.47bp	89.00bp	5,390,841	5,076,987	4,853,576	73.2	0.6	0.6	90.68bp	91.00bp	1,300,867	58	60.0	85.5	84.1	83.1	82.3	81.6	40
SCA003.A0102.SM1	No	0.5	-	half	11,345,968	-	-	-	12,825,755	5,280,218	41.17	5,031,360	39.23	71.1	5.4	0.9	91.75bp	83.00bp	10.6	1.9	56.58bp	51.00bp	12,825,755	5,148,811	40.14	4,843,752	37.77	70.7%	87.77bp	80.00bp	4,793,872	4,480,521	4,294,535	70.4	0.7	0.7	88.82bp	82.00bp	1,271,430	55.6	61.0	84.9	84.1	83.5	83	82.4	40
REN010.A0102.SM1	Yes	46.1	-	half	8,721,374	-	-	-	9,135,283	3,328,226	36.43	3,076,924	33.68	47.9	1.1	0.8	86.61bp	76.00bp	3.1	0.4	55.33bp	50.00bp	9,135,283	3,216,782	35.21	2,949,489	32.29	47.1%	82.62bp	72.00bp	2,882,407	2,680,934	2,572,402	46.2	0.6	0.6	83.84bp	73.00bp	1,383,557	57.1	61.0	89.7	89.1	88.4	87.8	87.3	39
GIN007.A0101.SM1	No	0.7	-	half	11,874,361	-	-	-	11,626,488	7,220,588	62.1	6,926,460	59.57	71.5	5.4	0.9	80.55bp	77.00bp	6.8	1	54.92bp	48.00bp	11,626,488	7,100,030	61.07	6,668,527	57.36	71.1%	76.48bp	73.00bp	6,322,034	5,898,645	5,635,512	70.2	0.7	0.6	78.15bp	75.00bp	1,679,275	64.6	72.0	84.6	83.9	83.5	83.1	82.8	39
DON004.A0101.SM1	Yes	22.7	-	half	10,406,539	-	-	-	11,456,297	4,808,662	41.97	4,606,905	40.21	61.7	2.1	0.9	93.50bp	86.00bp	9.5	2.1	50.37bp	46.00bp	11,456,297	4,692,053	40.96	4,429,801	38.67	61.2%	89.46bp	82.00bp	4,325,396	4,075,460	3,913,605	60.4	0.7	0.6	90.46bp	85.00bp	1,549,686	69	77.0	87.6	87.1	86.7	86.4	86.1	39
VEN018.A0102.SM1	No	0.8	-	half	9,125,116	-	-	-	8,980,288	5,269,001	58.67	5,066,516	56.42	60	5.8	0.8	83.21bp	80.00bp	12.1	1.9	47.46bp	43.00bp	8,980,288	5,191,315	57.81	4,887,701	54.43	59.5%	79.15bp	76.00bp	4,728,086	4,331,817	4,134,981	57.8	0.6	0.6	80.80bp	78.00bp	1,743,368	69.3	77.0	87.1	86.6	86.2	85.8	85.5	39
VLI009.B0103.SM1	No	0.5	-	half	8,170,691	-	-	-	8,448,362	4,913,862	58.16	4,723,851	55.91	59.3	8.5	0.9	94.00bp	93.00bp	13.8	1.9	48.71bp	45.00bp	8,448,362	4,827,684	57.14	4,547,711	53.83	58.8%	89.98bp	89.00bp	4,548,638	4,140,767	3,959,614	57.4	0.7	0.7	91.24bp	91.00bp	1,687,774	75.8	83.0	86.1	85.5	85.1	84.7	84.3	40
PAN049.A0101.SM1	Yes	52.4	-	half	41,384,253	-	-	-	38,763,078	10,568,469	27.26	8,937,721	23.06	92.7	33.0	1.0	58.97bp	54.00bp	25.0	1.6	60.48bp	49.00bp	38,763,078	10,003,611	25.81	8,635,311	22.28	92.7%	55.00bp	50.00bp	8,183,098	7,552,912	7,277,235	93.1	0.7	0.7	56.75bp	52.00bp	504,945	14.1X	15.0	87.5	85.7	84.1	82.5	80.7	37
