Sample Name	Strain Mixture?	Proportion Heterozygous SNP calls	Barcode Length	UDG Treatment	Nr. Input Reads	Reads Retained Following Poly-G Trimming	Retained Following Demultiplexing	Percentage Retained Following Demultiplexing	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	5 Prime C>T 1st base (Loose mapping parameters)	5 Prime C>T 2nd base (Loose mapping parameters)	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	5 Prime C>T 1st base- Human Mapping	5 Prime C>T 2nd base- Human Mapping	Mean Length Mapped Reads- Human Mapping	Median read length- Human Mapping	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	Reads retained after MALT filtering	Nr. Mapped Reads	Nr. Mapped Reads Passed Post-Filter	 Dup. Mapped Reads	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean Length Mapped Reads	Median read length	Nr. Dedup. Mapped Reads	Mean cov	Median cov	≥ 1X	≥ 2X	≥ 3X	≥ 4X	≥ 5X	 GC Dedup. Mapped Reads
CMS002.A0201.SM1	-	-	-	half	11,772,938	-	-	-	11,650,673	801,828	6.88	434,090	3.73	87.8	18.1	1.3	50.94bp	47.00bp	14.2	1.7	43.57bp	38.00bp	11,650,673	676,904	5.81	418,592	3.59	87.8%	46.94bp	43.00bp	384,699	356,006	339,163	88.4	0.5	0.5	48.23bp	44.00bp	39,363	0.9	0.0	47.5	24.5	11.7	5.4	2.4	40
VEK006.A0101.SM1	-	-	-	half	11,577,475	-	-	-	11,111,505	2,849,492	25.64	2,580,663	23.23	98.1	13.5	1.6	65.53bp	61.00bp	17.9	2.1	44.33bp	41.00bp	11,111,505	2,759,282	24.83	2,491,908	22.43	98.1%	61.64bp	57.00bp	2,415,337	2,274,882	2,163,646	98.2	0.7	0.8	63.66bp	60.00bp	38,761	1.2	1.0	59.1	33.8	16.6	7.2	2.9	39
XXX001.A161155.SM1	-	-	5bp	half	6,838,651	6,830,744	6,072,085	88.89	6,023,428	1,898,226	31.51	1,676,309	27.83	96.9	12	1	65.69bp	63.00bp	11.2	1.2	50.82bp	47.00bp	6,023,428	1,825,435	30.31	1,614,135	26.80	97.0%	61.98bp	60.00bp	1,534,112	1,439,641	1,389,899	97.1	0.6	0.8	64.16bp	64.00bp	40,000	1.3	1.0	60.2	35.3	17.8	7.9	3.1	39
XXX001.A161241.SM1	-	-	5bp	half	7,236,903	7,213,216	6,536,294	90.62	6,372,822	1,593,028	25	1,223,533	19.2	94.4	14.5	1.2	57.71bp	54.00bp	11.9	1.2	56.78bp	53.00bp	6,372,822	1,462,257	22.95	1,165,735	18.29	94.4%	53.74bp	50.00bp	1,110,472	984,013	940,166	94.5	0.7	0.6	55.13bp	52.00bp	51,603	1.4	1.0	61.5	37.7	20.8	10.5	5	39
XXX001.A161173.SM1	-	-	5bp	half	8,787,639	8,774,479	8,225,230	93.74	7,858,241	2,890,565	36.78	2,697,745	34.33	97.3	10.6	1.4	59.14bp	54.00bp	14.2	1.5	46.99bp	44.00bp	7,858,241	2,819,473	35.88	2,600,134	33.09	97.3%	55.24bp	51.00bp	2,379,664	2,275,751	2,178,084	97.4	0.7	0.6	56.90bp	53.00bp	57,565	1.6	1.0	63.7	42.7	25.9	14.5	7.4	40
MMI002.A0201.SM1	-	-	-	half	9,428,258	-	-	-	10,001,022	3,264,261	32.64	3,095,125	30.95	98	13.6	1.3	67.56bp	65.00bp	15.4	2.2	49.92bp	45.00bp	10,001,022	3,175,450	31.75	2,971,020	29.71	98.0%	63.62bp	61.00bp	2,978,922	2,754,866	2,636,941	98.1	0.7	0.7	65.77bp	64.00bp	49,438	1.6	1.0	67.6	43.3	24.7	12.9	6.2	39
KIV007.A0101.SM1	-	-	-	half	11,098,989	-	-	-	11,562,409	793,154	6.86	319,342	2.76	64.7	13.9	1.1	47.85bp	44.00bp	13.5	1.6	47.39bp	43.00bp	11,562,409	631,337	5.46	280,423	2.43	62.5%	43.15bp	40.00bp	218,212	202,978	191,160	60.4	0.6	0.7	43.64bp	40.00bp	75,746	1.6	1.0	58.3	39.5	25.8	16.2	9.6	42
XXX001.A161364.SM1	-	-	7bp	half	7,308,814	7,279,852	6,487,178	89.11	6,084,268	2,875,260	47.26	2,688,229	44.18	96.9	9.8	1.5	65.11bp	67.00bp	17.9	1.5	55.11bp	50.00bp	6,084,268	2,798,532	46.00	2,583,260	42.46	96.9%	61.31bp	64.00bp	2,531,284	2,293,764	2,198,916	97	0.7	0.7	63.28bp	65.00bp	65,768	2	2.0	71.4	53.2	35.6	21.4	11.7	39
MIB002.A0102.SM1	-	-	-	half	7,248,086	-	-	-	7,129,114	1,718,363	24.1	1,394,395	19.56	93.2	8.1	1.2	58.39bp	52.00bp	12.7	1.1	50.11bp	44.00bp	7,129,114	1,630,965	22.88	1,321,527	18.54	93.1%	54.49bp	48.00bp	1,251,390	1,168,561	1,105,273	93.5	0.8	0.6	56.64bp	51.00bp	71,753	2	2.0	71.5	51.8	33.8	20.2	11.2	39
XXX001.A161161.SM1	-	-	5bp	half	8,250,595	8,238,700	7,762,683	94.22	7,533,123	2,012,635	26.72	1,740,197	23.1	94.6	9.6	1.3	60.85bp	56.00bp	8.2	1.4	54.66bp	50.00bp	7,533,123	1,919,188	25.48	1,667,836	22.14	94.6%	56.97bp	52.00bp	1,548,789	1,439,443	1,377,954	94.8	0.8	0.7	58.80bp	55.00bp	71,210	2.1	2.0	71	52.8	35.5	21.7	12.2	39
ALA002.B0102.SM1	-	-	-	half	7,469,636	-	-	-	7,261,317	753,293	10.37	534,387	7.36	78.3	15.3	1.2	55.48bp	50.00bp	15.4	1.3	48.16bp	40.00bp	7,261,317	678,258	9.34	514,577	7.09	78.2%	51.51bp	46.00bp	487,678	451,007	429,354	79.3	0.6	0.6	53.31bp	48.00bp	88,761	2.3	2.0	69.4	52.9	38.2	26.4	17.6	40
XXX001.A161166.SM1	-	-	5bp	half	8,011,663	8,003,849	7,220,421	90.21	7,121,421	3,347,994	47.01	3,186,451	44.74	97	8.6	1.4	68.02bp	68.00bp	14.4	2	52.19bp	48.00bp	7,121,421	3,286,316	46.15	3,074,977	43.18	97.0%	64.20bp	64.00bp	2,849,426	2,705,300	2,587,726	97	0.7	0.8	66.09bp	67.00bp	77,582	2.5	2.0	72.9	57.8	42.3	29	18.9	40
XXX001.A16566.SM1	-	-	5bp	full	4,068,658	3,452,022	3,281,740	95.07	3,238,699	1,276,649	39.42	1,201,542	37.1	92.8	1.8	1	73.01bp	71.00bp	3.1	1.3	64.56bp	62.00bp	3,238,699	1,238,723	38.25	1,151,219	35.55	92.7%	73.22bp	71.00bp	1,086,815	1,020,850	974,086	92.7	1.5	0.9	74.71bp	71.00bp	71,128	2.6	2.0	71.4	57.8	44.5	32.3	22	40
CCA002.B0201.SM1	-	-	-	half	11,383,035	-	-	-	11,060,131	1,011,300	9.14	677,923	6.13	78.3	13.2	1.2	58.52bp	54.00bp	4.3	2.9	50.91bp	39.00bp	11,060,131	896,647	8.11	654,450	5.92	78.3%	54.57bp	50.00bp	606,841	574,334	549,408	79.2	0.7	0.6	56.18bp	52.00bp	114,244	3.2	2.0	74.7	62	49.3	37.9	28.3	40
XXX001.A161129.SM1	-	-	5bp	half	7,429,474	7,425,176	7,073,953	95.27	7,360,388	2,255,312	30.64	2,069,406	28.12	94.5	15.5	1.2	68.91bp	71.00bp	15.8	1.5	56.47bp	53.00bp	7,360,388	2,189,076	29.74	2,007,835	27.28	94.5%	65.04bp	67.00bp	1,932,854	1,810,177	1,741,803	94.7	0.7	0.7	66.65bp	67.00bp	92,861	3	3.0	78.2	65.6	52.2	38.8	26.9	39
PVA001.A0101.SM1	-	-	-	half	11,642,339	-	-	-	11,721,876	2,709,424	23.11	2,411,106	20.57	95.6	8.9	1.1	72.79bp	76.00bp	10.2	1.3	58.89bp	51.00bp	11,721,876	2,593,346	22.12	2,315,379	19.75	95.6%	68.99bp	72.00bp	2,259,638	2,128,395	2,038,126	95.8	0.6	0.6	71.53bp	72.00bp	84,632	3	3.0	78.3	66.9	52.9	38.4	25.7	39
XXX001.A161237.SM1	-	-	5bp	half	6,246,303	6,228,823	5,591,988	89.78	5,388,792	2,908,601	53.98	2,705,966	50.21	92.8	8.6	1.1	50.72bp	47.00bp	6.6	1.3	50.22bp	46.00bp	5,388,792	2,837,663	52.66	2,612,218	48.48	92.8%	46.74bp	43.00bp	2,357,341	2,194,585	2,095,151	93	0.6	0.5	47.99bp	44.00bp	146,147	3.4	3.0	78	65.7	53.8	42.7	32.4	40
XXX001.A161233.SM1	-	-	5bp	half	9,877,769	9,864,357	8,798,312	89.19	8,773,982	4,113,287	46.88	3,713,134	42.32	95.4	7.1	1.2	59.87bp	56.00bp	7.1	1.1	53.08bp	49.00bp	8,773,982	3,979,543	45.36	3,592,540	40.95	95.4%	55.95bp	52.00bp	3,361,669	3,078,788	2,946,363	95.4	0.7	0.7	57.64bp	54.00bp	134,171	3.8	3.0	79.4	69.9	59	47.8	37	40
VET009.A0101.SM1	-	-	-	half	13,862,337	-	-	-	13,890,755	2,008,091	14.46	1,658,634	11.94	89	13.6	1.3	61.31bp	56.00bp	16.2	2.1	45.95bp	41.00bp	13,890,755	1,888,252	13.59	1,600,184	11.52	89.0%	57.39bp	52.00bp	1,576,672	1,460,286	1,394,666	89.7	0.7	0.7	59.36bp	54.00bp	143,081	4.2	4.0	79.3	71.2	61.9	51.9	41.8	40
XXX001.A161123.SM1	-	-	5bp	half	7,897,071	7,889,796	7,397,448	93.76	7,335,230	2,909,598	39.67	2,733,884	37.27	93.5	17.2	1.1	62.87bp	59.00bp	12.3	1.4	59.83bp	56.00bp	7,335,230	2,845,417	38.79	2,643,182	36.03	93.4%	58.97bp	55.00bp	2,534,858	2,362,163	2,265,680	93.7	0.6	0.6	60.66bp	57.00bp	142,500	4.3	4.0	80.8	73.5	64.9	55	44.6	39
XXX001.A161183.SM1	-	-	7bp	half	7,091,767	7,040,128	6,309,497	89.62	4,747,743	2,811,281	59.21	2,712,528	57.13	92.9	15.3	1.1	62.63bp	60.00bp	20.2	1.7	51.23bp	46.00bp	4,747,743	2,762,156	58.18	2,621,154	55.21	92.8%	58.71bp	56.00bp	2,510,863	2,328,379	2,245,346	93.2	0.8	0.8	60.47bp	58.00bp	153,113	4.6	4.0	80.3	73.9	66.3	57.7	48.1	39
XXX001.A161239.SM1	-	-	5bp	half	5,207,884	5,192,819	4,692,376	90.36	4,591,875	2,470,417	53.8	2,341,970	51	91.1	4.8	0.9	62.99bp	60.00bp	7.5	1.2	54.92bp	52.00bp	4,591,875	2,418,060	52.66	2,263,144	49.29	91.1%	59.07bp	56.00bp	2,158,521	1,983,325	1,901,331	91.3	0.6	0.6	60.61bp	58.00bp	165,841	4.9	4.0	83.2	75.2	67	58.4	49.4	40
LOT001.A0201.SM1	-	-	-	half	12,718,378	-	-	-	12,589,900	3,697,551	29.37	3,456,917	27.46	94.1	18.7	1.2	64.66bp	61.00bp	16.5	2	55.25bp	51.00bp	12,589,900	3,597,579	28.58	3,344,345	26.56	94.1%	60.77bp	57.00bp	3,305,681	3,079,629	2,958,398	94.5	0.6	0.6	62.60bp	59.00bp	161,903	5	4.0	80.7	73.7	65.8	57.4	48.6	40
MK5008.B0101.SM1	-	-	-	half	9,911,633	-	-	-	10,318,306	3,487,360	33.8	3,209,201	31.1	93.8	6.8	1.1	69.11bp	68.00bp	13.4	1.4	53.43bp	47.00bp	10,318,306	3,371,443	32.67	3,082,812	29.88	93.7%	65.22bp	64.00bp	3,053,267	2,828,386	2,699,298	94	0.6	0.6	67.36bp	67.00bp	162,205	5.4	5.0	83.9	77.7	70.2	61.8	53.2	40
BOT005.A0101.SM1	-	-	-	half	12,001,270	-	-	-	12,103,262	2,585,592	21.36	2,312,079	19.1	90.3	10.6	1.2	68.49bp	65.00bp	10.6	1.8	55.68bp	49.00bp	12,103,262	2,474,687	20.45	2,224,565	18.38	90.2%	64.59bp	61.00bp	2,191,120	2,021,292	1,938,474	90.6	0.7	0.7	66.51bp	64.00bp	181,969	6	6.0	84	78.8	73	66.5	59.2	39
