Individual Id	Archaeological ID	Capture ID	Country	Site	Latitude	Longitude	Culture/Period	Radiocarbon Dating	Approximate Chronology	C14 Uncalibrated	C14 Uncalibrated Variation	C14 Calibrated From	C14 Calibrated To	C14 Id	C14 Dated?	Plot From	Plot To	Plot Mid	Region
OOH016	"Bef. 141, OTTM_141_d"	OOH016.A0102.SM1	Germany	Oberottmarshausen	48.2252	10.8498	Middle Bronze Age	"3297 ± 36 (MAMS-21552), 1672-1461 calBCE"	-	3297	36	-1672	-1461	MAMS-21552	Yes	-1672	-1461	-1566.5	Central Europe
GIN007	11558	GIN007.A0101.SM1	Russian Federation	Ginchi	42.429	46.6404	Bronze Age	"3345 ± 20 (MAMS-42364), 1729-1538 calBCE"	-	3345	20	-1729	-1538	MAMS-42364	Yes	-1729	-1538	-1633.5	Caucuses
GIN005	11556	GIN005.A0101.SM1	Russian Federation	Ginchi	42.429	46.6404	Bronze Age	"3351 ± 20 (MAMS-42349),1733-1542 calBCE"	-	3351	20	-1733	-1542	MAMS-42349	Yes	-1733	-1542	-1637.5	Caucuses
MIB002	Grave 55	MIB002.A0102.SM1	Czech Republic	Mikulovice	49.9922	15.7767	"Early Bronze Age, Classical Únětice Culture"	"3494 ± 19 (MAMS-30482), 1884-1749 calBCE"	-	3494	19	-1884	-1749	MAMS-30482	Yes	-1884	-1749	-1816.5	Central Europe
MMI002	Madres Mercedarias Iglesia Tomb 11-1	MMI002.A0201.SM1	Spain	Lorca-Madres Mercedarias Iglesia	37.6744	-1.6967	"Bronze Age, El Argar"	"3510 ± 40 (OxA-7672), 1943-1699 calBCE"	-	3510	40	-1943	-1699	OxA-7672	Yes	-1943	-1699	-1821	Iberia
LOT001	Los Tintes 2-1	LOT001.A0201.SM1	Spain	Lorca-Los Tintes	37.6744	-1.6967	"Bronze Age, El Argar"	"3560 ± 35 (OxA-7667), 2021-1773 calBCE"	-	3560	35	-2021	-1773	OxA-7667	Yes	-2021	-1773	-1897	Iberia
I0803	EUL41A	XXX001.A161173.SM1	Germany	Eulau	51.1787	11.8538	"Early Bronze Age, Únětice"	"3650 ± 26 (MAMS-22822), 2135-1941 calBCE"	-	3650	26	-2135	-1941	MAMS-22822	Yes	-2135	-1941	-2038	Central Europe
OBK010	"Grab 23, Bef. 80, OBKR_80"	OBK010.A0101.SM1	Germany	Obere Kreuzstrasse	48.2666	10.8786	Early Bronze Age	"3664 ± 24 (MAMS-18901), 2136-1955 calBCE"	-	3664	24	-2136	-1955	MAMS-18901	Yes	-2136	-1955	-2045.5	Central Europe
I0806	QLB28b	XXX001.A161176.SM1	Germany	Quedlinburg	51.7868	11.1535	"Late Neolithic, Bell Beaker"	"3824 ± 25 (MAMS-22820), 2433-2147 calBCE"	-	3824	25	-2433	-2147	MAMS-22820	Yes	-2433	-2147	-2290	Central Europe
I0461	Roy4	XXX001.A161129.SM1	Spain	Arroyal_I	42.9098	-4.077	"Late Copper Age, Bell Beaker"	"3837 ± 25 (MAMS-14857), 2453-2201 calBCE"	-	3837	25	-2453	-2201	MAMS-14857	Yes	-2453	-2201	-2327	Iberia
I0111	ROT4	XXX001.A161203.SM1	Germany	Rothenschirmbach	51.45	11.54	Bell Beaker	"3881 ± 50 (Erl-8712), 2474-2201 calBCE"	-	3881	50	-2474	-2201	Erl-8712	Yes	-2474	-2201	-2337.5	Central Europe
EHU002	"UE450, Hund2"	EHU002.A0201.SM1	Spain	El Hundido	42.4192	-3.4847	Late Chalcolithic	"3933 ± 32 (CSIC-1896), 2564-2299 calBCE"	-	3933	32	-2564	-2299	CSIC-1896	Yes	-2564	-2299	-2431.5	Iberia
PRU003	Grave 3	PRU003.A0102.SM1	Czech Republic	Prague-Ruzyně	50.0908	14.3137	Chalcolithic/Eneolithic/Final Neolithic/Bell Beaker	"3957 ± 24 (MAMS-30801), 2570-2348 calBCE "	-	3957	24	-2570	-2348	MAMS-30801	Yes	-2570	-2348	-2459	Central Europe
I0550	KAR22A	XXX001.A161110.SM1	Germany	Karsdorf	51.2831	11.65	"Late Neolithic, Corded Ware Culture"	"3993 ± 21 (MAMS-23344), 2572-2467 calBCE"	-	3993	21	-2572	-2467	MAMS-23344	Yes	-2572	-2467	-2519.5	Central Europe
